cod_insersao;descricao;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;usuario
83101072603;MUNDO UP ALUNO EF1 2O ANO MUNDO UP 3O BI;83101072603;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101072603;MUNDO UP ALUNO EF1 2O ANO MUNDO UP 3O BI;83101072603;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83102070103;SAE PROF EF1 2O ANO SAE 3O BI;83102070103;-;-;-;-;-;-
83102070103;SAE PROF EF1 2O ANO SAE 3O BI;83102070103;PG26LP223SDLH;26 LV PROF EF1 2O ANO 3O BI SAE                                                 ;FUND AI;2O ANO;Volume 03;Professor
83102070103;SAE PROF EF1 2O ANO SAE 3O BI;83102070103;PG26FP223SD00;26 FICHA PROF EF1 2O ANO 3O BI SAE                                              ;FUND AI;2O ANO;Volume 03;Professor
83102070103;SAE PROF EF1 2O ANO SAE 3O BI;83102070103;PG26LP227SDA0;26 LV PROF EF1 2O ANO VOL 2 SAE ARTE                                            ;FUND AI;2O ANO;Volume 02;Professor
83102070103;SAE PROF EF1 2O ANO SAE 3O BI;83102070103;PG26LP227SDW0;26 LV PROF EF1 2O ANO VOL 2 SAE FILOSOFIA                                       ;FUND AI;2O ANO;Volume 02;Professor
83102070303;SAE PROF EF1 2O ANO SAE 3O BI SEM ARTE E FILOSOFIA;83102070303;-;-;-;-;-;-
83102070303;SAE PROF EF1 2O ANO SAE 3O BI SEM ARTE E FILOSOFIA;83102070303;PG26LP223SDLH;26 LV PROF EF1 2O ANO 3O BI SAE                                                 ;FUND AI;2O ANO;Volume 03;Professor
83102070303;SAE PROF EF1 2O ANO SAE 3O BI SEM ARTE E FILOSOFIA;83102070303;PG26FP223SD00;26 FICHA PROF EF1 2O ANO 3O BI SAE                                              ;FUND AI;2O ANO;Volume 03;Professor
83102290103;SAE PROF EF1 2O ANO SAE 3O BI SEM FILOSOFIA;83102290103;-;-;-;-;-;-
83102290103;SAE PROF EF1 2O ANO SAE 3O BI SEM FILOSOFIA;83102290103;PG26LP223SDLH;26 LV PROF EF1 2O ANO 3O BI SAE                                                 ;FUND AI;2O ANO;Volume 03;Professor
83102290103;SAE PROF EF1 2O ANO SAE 3O BI SEM FILOSOFIA;83102290103;PG26FP223SD00;26 FICHA PROF EF1 2O ANO 3O BI SAE                                              ;FUND AI;2O ANO;Volume 03;Professor
83102290103;SAE PROF EF1 2O ANO SAE 3O BI SEM FILOSOFIA;83102290103;PG26LP227SDA0;26 LV PROF EF1 2O ANO VOL 2 SAE ARTE                                            ;FUND AI;2O ANO;Volume 02;Professor
PG26ZA223SD00;26 CAPA LV ALUNO EF1 2O ANO 3O BI SAE;-;PG26ZA223SD00;26 CAPA LV ALUNO EF1 2O ANO 3O BI SAE                                                ;FUND AI;2O ANO;Volume 03;Aluno
PG26ZA223DB00;26 CAPA LV ALUNO EF1 2O ANO 3O BI DB;-;PG26ZA223DB00;26 CAPA LV ALUNO EF1 2O ANO 3O BI DB                                                 ;FUND AI;2O ANO;Volume 03;Aluno
PG26ZA223ZU00;26 CAPA LV ALUNO EF1 2O ANO 3O BI CELLULA MATER;-;PG26ZA223ZU00;26 CAPA LV ALUNO EF1 2O ANO 3O BI CELLULA MATER                                      ;FUND AI;2O ANO;Volume 03;Aluno
PG26ZA223SE00;26 CAPA LV ALUNO EF1 2O ANO 3O BI SECULO;-;PG26ZA223SE00;26 CAPA LV ALUNO EF1 2O ANO 3O BI SECULO                                             ;FUND AI;2O ANO;Volume 03;Aluno
